setup	problem	target	train_dataset	test_dataset	is_null	metric	i_split	i_iter	score
silo	classification	fl:cognitive_decline_status	site2	site1-site2-weighted	False	balanced_accuracy	1	0	0.35416666666666674
federated	classification	fl:cognitive_decline_status	site1-site2	site1	False	balanced_accuracy	1	0	0.5833333333333333
federated	classification	fl:cognitive_decline_status	site1-site2	site2	False	balanced_accuracy	1	0	0.375
federated	classification	fl:cognitive_decline_status	site1-site2	site1-site2	False	balanced_accuracy	1	0	0.4791666666666667
federated	classification	fl:cognitive_decline_status	site1-site2	site1-site2-weighted	False	balanced_accuracy	1	0	0.47916666666666663
mega	classification	fl:cognitive_decline_status	site1-site2	site1	False	balanced_accuracy	1	0	0.5833333333333334
mega	classification	fl:cognitive_decline_status	site1-site2	site2	False	balanced_accuracy	1	0	0.6666666666666667
mega	classification	fl:cognitive_decline_status	site1-site2	site1-site2	False	balanced_accuracy	1	0	0.625
mega	classification	fl:cognitive_decline_status	site1-site2	site1-site2-weighted	False	balanced_accuracy	1	0	0.625
silo	classification	fl:cognitive_decline_status	site1	site1	True	balanced_accuracy	0	0	0.625
silo	classification	fl:cognitive_decline_status	site1	site2	True	balanced_accuracy	0	0	0.5416666666666667
silo	classification	fl:cognitive_decline_status	site1	site1-site2	True	balanced_accuracy	0	0	0.5833333333333334
silo	classification	fl:cognitive_decline_status	site1	site1-site2-weighted	True	balanced_accuracy	0	0	0.5833333333333333
silo	classification	fl:cognitive_decline_status	site2	site1	True	balanced_accuracy	0	0	0.5416666666666666
silo	classification	fl:cognitive_decline_status	site2	site2	True	balanced_accuracy	0	0	0.25
silo	classification	fl:cognitive_decline_status	site2	site1-site2	True	balanced_accuracy	0	0	0.39583333333333337
silo	classification	fl:cognitive_decline_status	site2	site1-site2-weighted	True	balanced_accuracy	0	0	0.3958333333333333
federated	classification	fl:cognitive_decline_status	site1-site2	site1	True	balanced_accuracy	0	0	0.45833333333333337
federated	classification	fl:cognitive_decline_status	site1-site2	site2	True	balanced_accuracy	0	0	0.45833333333333337
federated	classification	fl:cognitive_decline_status	site1-site2	site1-site2	True	balanced_accuracy	0	0	0.45833333333333337
federated	classification	fl:cognitive_decline_status	site1-site2	site1-site2-weighted	True	balanced_accuracy	0	0	0.45833333333333337
mega	classification	fl:cognitive_decline_status	site1-site2	site1	True	balanced_accuracy	0	0	0.5
mega	classification	fl:cognitive_decline_status	site1-site2	site2	True	balanced_accuracy	0	0	0.5
mega	classification	fl:cognitive_decline_status	site1-site2	site1-site2	True	balanced_accuracy	0	0	0.5
mega	classification	fl:cognitive_decline_status	site1-site2	site1-site2-weighted	True	balanced_accuracy	0	0	0.5
silo	classification	fl:cognitive_decline_status	site1	site1	True	balanced_accuracy	1	0	0.625
silo	classification	fl:cognitive_decline_status	site1	site2	True	balanced_accuracy	1	0	0.5833333333333333
silo	classification	fl:cognitive_decline_status	site1	site1-site2	True	balanced_accuracy	1	0	0.6041666666666666
silo	classification	fl:cognitive_decline_status	site1	site1-site2-weighted	True	balanced_accuracy	1	0	0.6041666666666666
silo	classification	fl:cognitive_decline_status	site2	site1	True	balanced_accuracy	1	0	0.6666666666666666
silo	classification	fl:cognitive_decline_status	site2	site2	True	balanced_accuracy	1	0	0.5
silo	classification	fl:cognitive_decline_status	site2	site1-site2	True	balanced_accuracy	1	0	0.5833333333333333
silo	classification	fl:cognitive_decline_status	site2	site1-site2-weighted	True	balanced_accuracy	1	0	0.5833333333333333
federated	classification	fl:cognitive_decline_status	site1-site2	site1	True	balanced_accuracy	1	0	0.4583333333333333
federated	classification	fl:cognitive_decline_status	site1-site2	site2	True	balanced_accuracy	1	0	0.5
federated	classification	fl:cognitive_decline_status	site1-site2	site1-site2	True	balanced_accuracy	1	0	0.47916666666666663
federated	classification	fl:cognitive_decline_status	site1-site2	site1-site2-weighted	True	balanced_accuracy	1	0	0.4791666666666667
mega	classification	fl:cognitive_decline_status	site1-site2	site1	True	balanced_accuracy	1	0	0.5416666666666666
mega	classification	fl:cognitive_decline_status	site1-site2	site2	True	balanced_accuracy	1	0	0.5416666666666667
mega	classification	fl:cognitive_decline_status	site1-site2	site1-site2	True	balanced_accuracy	1	0	0.5416666666666666
mega	classification	fl:cognitive_decline_status	site1-site2	site1-site2-weighted	True	balanced_accuracy	1	0	0.5416666666666667
